from_stop_id,to_stop_id,transfer_type,min_transfer_time
AD060,AD050,2,300
AD060,AD360,2,300
AD060,AD370,2,300
AD070,AD050,2,300
AD070,AD080,2,300
AD080,AD050,2,300
AD080,AD070,2,300
AD085,AD090,2,300
AD085,AD100,2,300
AD090,AB530,2,300
AD090,AB540,2,300
AD090,AD085,2,300
AD090,AD100,2,300
AD100,AB530,2,300
AD100,AD085,2,300
AD100,AD090,2,300
AD110,AB480,2,300
AD110,AB510,2,300
AD110,AB520,2,300
AD110,AD140,2,300
AD110,AD145,2,300
AD135,AD260,2,300
AD135,AD265,2,300
AD135,AD270,2,300
AD135,AD280,2,300
AD140,AD110,2,300
AD140,AD145,2,300
AD145,AD110,2,300
AD145,AD140,2,300
AD200,AB490,2,300
AD200,AD210,2,300
AD200,AD220,2,300
AD210,AB490,2,300
AD210,AB500,2,300
AD210,AD200,2,300
AD210,AD220,2,300
AD210,AD230,2,300
AD220,AB490,2,300
AD220,AD200,2,300
AD220,AD210,2,300
AD220,AD230,2,300
AD230,AB490,2,300
AD230,AB500,2,300
AD230,AD210,2,300
AD230,AD220,2,300
AD230,AD260,2,300
AD260,AD135,2,300
AD260,AD230,2,300
AD260,AD265,2,300
AD260,AD280,2,300
AD265,AD135,2,300
AD265,AD260,2,300
AD265,AD270,2,300
AD265,AD280,2,300
AD270,AD135,2,300
AD270,AD265,2,300
AD270,AD280,2,300
AD270,AD300,2,300
AD280,AD135,2,300
AD280,AD260,2,300
AD280,AD265,2,300
AD280,AD270,2,300
AD280,AD300,2,300
AD300,AD270,2,300
AD300,AD280,2,300
AD300,AD310,2,300
AD310,AD300,2,300
AD320,AD330,2,300
AD330,AD320,2,300
AD340,AD350,2,300
AD350,AD340,2,300
AD360,AD030,2,300
AD360,AD040,2,300
AD360,AD050,2,300
AD360,AD060,2,300
AD360,AD370,2,300
AD370,AD030,2,300
AD370,AD040,2,300
AD370,AD050,2,300
AD370,AD060,2,300
AD370,AD360,2,300
AD380,AD390,2,300
AD390,AD380,2,300
AD391,AD392,2,300
AD391,AD440,2,300
AD391,AD450,2,300
AD392,AD391,2,300
AD392,AD440,2,300
AD392,AD450,2,300
AD393,AD394,2,300
AD394,AD393,2,300
AD440,AD391,2,300
AD440,AD392,2,300
AD440,AD450,2,300
AD450,AD391,2,300
AD450,AD392,2,300
AD450,AD440,2,300
AD460,AD470,2,300
AD470,AD460,2,300
AD508,AD800,2,300
AD508,AD805,2,300
AD670,AD680,2,300
AD670,AD690,2,300
AD680,AD670,2,300
AD680,AD690,2,300
AD690,AD670,2,300
AD690,AD680,2,300
AD690,AD700,2,300
AD700,AD690,2,300
AD720,AD730,2,300
AD720,AD780,2,300
AD720,AD790,2,300
AD730,AD720,2,300
AD730,AD780,2,300
AD780,AD720,2,300
AD780,AD730,2,300
AD780,AD790,2,300
AD780,AE040,2,300
AD790,AD720,2,300
AD790,AD780,2,300
AD790,AE040,2,300
AD800,AD508,2,300
AD800,AD805,2,300
AD800,AD810,2,300
AD805,AD508,2,300
AD805,AD800,2,300
AD805,AD810,2,300
AD810,AD800,2,300
AD810,AD805,2,300
AE010,AE015,2,300
AE010,AE020,2,300
AE015,AE010,2,300
AE015,AE020,2,300
AE020,AE010,2,300
AE020,AE015,2,300
AE040,AD780,2,300
AE040,AD790,2,300
AE050,AE715,2,300
AE080,AE090,2,300
AE090,AE080,2,300
AE120,AE130,2,300
AE120,EB935,2,300
AE130,AE120,2,300
AE130,EB935,2,300
AE140,AE150,2,300
AE150,AE140,2,300
AE235,AE241,2,300
AE241,AE235,2,300
AE260,AE820,2,300
AE320,EC090,2,300
AE320,EC100,2,300
AE325,AE335,2,300
AE325,AE625,2,300
AE325,AE635,2,300
AE335,AE325,2,300
AE335,AE625,2,300
AE335,AE640,2,300
AE340,AE351,2,300
AE340,AE600,2,300
AE340,AE610,2,300
AE340,AE620,2,300
AE340,AE630,2,300
AE351,AE340,2,300
AE351,AE600,2,300
AE351,AE610,2,300
AE355,AE360,2,300
AE355,AE580,2,300
AE355,AE800,2,300
AE355,AE810,2,300
AE360,AE355,2,300
AE360,AE580,2,300
AE360,AE800,2,300
AE360,AE810,2,300
AE370,AE560,2,300
AE370,AE570,2,300
AE370,AE815,2,300
AE370,AE820,2,300
AE375,AE820,2,300
AE450,AE480,2,300
AE450,AE495,2,300
AE480,AE450,2,300
AE495,AE450,2,300
AE500,AE510,2,300
AE510,AE500,2,300
AE520,AE530,2,300
AE530,AE520,2,300
AE540,AE550,2,300
